stock_code,description,total_quantity,total_revenue,avg_unit_price,total_orders,unique_customers,revenue_percentage,cumulative_revenue_percentage,abc_category
22699,roses regency teacup and saucer,9864,29056.920000000002,3.661425908667288,1065,423,0.0027303718721927335,0.19931901190154158,A
23355,hot water bottle keep calm,5816,28718.8,5.271557788944723,782,474,0.00269859997973387,0.20201761188127546,A
22411,jumbo shopper vintage red paisley,12574,28577.1,2.689254237288136,1175,375,0.002685284952047187,0.20470289683332266,A
20685,doormat red retrospot,4088,28049.54,8.953529411764706,696,329,0.0026357120797367707,0.2073386089130594,A
85099C,jumbo  bag baroque black white,13900,28047.74,2.605185577942736,933,306,0.0026355429403589585,0.20997415185341836,A
22457,natural slate heart chalkboard,9119,27991.610000000004,3.59003187250996,1249,587,0.0026302686107608393,0.2126044204641792,A
23201,jumbo bag alphabet,13366,27850.83,2.3900109769484086,906,396,0.0026170400320894836,0.2152214604962687,A
22726,alarm clock bakelike green,6419,27155.28,4.54201213346815,980,322,0.002551681757513112,0.2177731422537818,A
84347,rotating silver angels t-light hldr,9461,26425.579999999998,3.415258620689655,449,192,0.0024831145330743536,0.22025625678685615,A
21915,red  harmonica in box,21903,26294.08,1.4255722891566265,661,349,0.0024707579618619426,0.2227270147487181,A
22666,recipe box pantry yellow design,8269,26219.95,3.7048793565683646,1111,471,0.0024637922384856984,0.22519080698720378,A
21175,gin + tonic diet metal sign,11709,25792.47,2.7445669291338586,759,330,0.0024236235155816552,0.22761443050278543,A
22629,spaceboy lunch box,14249,25719.02,2.193337016574586,900,322,0.0024167216893036963,0.23003115219208914,A
22961,jam making set printed,16396,25637.78,1.9049140893470793,1162,537,0.002409087865385093,0.23244024005747424,A
48138,doormat union flag,3751,25534.15,8.891294498381876,616,313,0.0023993501355391448,0.2348395901930134,A
21181,please one person metal sign,12274,25225.480000000003,2.426067677946324,845,361,0.0023703455512339355,0.23720993574424734,A
23173,regency teapot roses,2766,24879.13,11.119714964370546,416,248,0.0023378003159531843,0.23954773606020052,A
21621,vintage union jack bunting,2787,24525.83,9.4460206185567,475,267,0.0023046020147414357,0.24185233807494197,A
23203,jumbo bag vintage doily,11448,24489.08,2.300598885793872,711,363,0.002301148752444431,0.2441534868273864,A
22111,scottie dog hot water bottle,4655,24455.39,5.805300896286813,771,425,0.002297983027089707,0.2464514698544761,A
22722,set of 6 spice tins pantry design,5966,24436.260000000002,4.676517119244393,834,393,0.0022961854513688447,0.24874765530584494,A
22326,round snack boxes set of4 woodland,8535,24364.870000000003,3.4687721691678037,732,281,0.00228947719571216,0.2510371325015571,A
22138,baking set 9 piece retrospot,4937,24185.27,5.353144989339019,934,581,0.0022726008444593146,0.2533097333460164,A
48187,doormat new england,3807,24108.39,8.464717607973423,600,314,0.002265376713700302,0.2555751100597167,A
21731,red toadstool led night light,14001,23919.78,2.3904327485380117,849,266,0.0022476537258951843,0.2578227637856119,A
48185,doormat fairy cake,3615,23872.91,10.12136612021858,365,143,0.0022432495244295897,0.26006601331004153,A
23344,jumbo bag 50's christmas,10285,23772.07,2.4177423822714683,716,391,0.0022337739606192505,0.2622997872706608,A
23243,set of tea coffee sugar tins pantry,4800,23489.42,5.866072186836518,470,275,0.002207214379986641,0.26450700165064744,A
22189,cream heart card holder,8284,23435.82,4.4527186311787075,524,274,0.0022021777851806697,0.2667091794358281,A
21733,red hanging heart t-light holder,7872,23199.24,3.160996015936255,741,385,0.00217994723295685,0.26888912666878495,A
21929,jumbo bag pink vintage paisley,11006,23179.06,2.678348623853211,865,308,0.00217805099259893,0.2710671776613839,A
82482,wooden picture frame white finish,8986,23057.06,3.1030650994575044,1100,410,0.0021665871014360846,0.27323376476281996,A
20713,jumbo bag owls,11429,23001.06,2.7772809667673717,657,207,0.002161324987459696,0.27539508975027965,A
21623,vintage union jack memoboard,3269,22980.239999999998,10.374389140271493,221,139,0.0021593686086563316,0.277554458358936,A
22139,retrospot tea set ceramic 11 pc,4518,22868.260000000002,5.730788381742739,962,488,0.0021488462600299757,0.279703304618966,A
22090,paper bunting retrospot,7562,22785.06,3.7798004987531173,798,325,0.002141028262122199,0.2818443328810882,A
22697,green regency teacup and saucer,7278,22755.5,3.835362035225049,1013,387,0.002138250617673234,0.28398258349876143,A
85066,cream sweetheart mini chest,1784,22594.2,14.308129770992366,519,289,0.002123093850094816,0.2861056773488562,A
20727,lunch bag  black skull.,12195,22346.96,2.1077863182167564,1273,458,0.002099861616889062,0.2882055389657453,A
15056N,edwardian parasol natural,3950,22152.690000000002,6.94886462882096,456,184,0.0020816067797070456,0.29028714574545234,A
48194,doormat hearts,3416,22114.42,9.247993254637437,592,286,0.00207801068860211,0.2923651564340544,A
20712,jumbo bag woodland animals,9773,22092.420000000002,2.9266168009205984,863,248,0.002075943429539958,0.2944410998635944,A
84029E,red woolly hottie white heart.,4734,22025.73,5.128721461187215,429,228,0.0020696768155920053,0.2965107766791864,A
23202,jumbo bag vintage leaf,10941,21810.43,2.2962302483069976,879,377,0.002049445866679213,0.2985602225458656,A
20724,red retrospot charlotte bag,17761,21773.39,1.1461973180076628,1032,335,0.002045965354149116,0.30060618790001475,A
20728,lunch bag cars blue,11786,21699.48,2.063580034423408,1150,479,0.002039020303363494,0.30264520820337826,A
22630,dolly girl lunch box,11780,21609.789999999997,2.3315268065268064,850,287,0.002030592464032382,0.3046758006674106,A
21523,doormat fancy font home sweet home,3245,21593.74,9.514820717131473,502,203,0.0020290843045802213,0.30670488497199083,A
21843,red retrospot cake stand,2012,21354.3,12.607560073937153,539,260,0.002006585008678321,0.3087114699806692,A
21212,pack of 72 retrospot cake cases,36396,21246.45,0.7612056213017753,1320,635,0.001996450740957724,0.3107079207216269,A
21166,cook with wine metal sign,10324,20874.440000000002,2.3886126373626375,723,287,0.0019614943298799353,0.3126694150515068,A
23206,lunch bag apple design,12147,20852.58,2.0589553656220323,1036,401,0.0019594402261027236,0.31462885527760953,A
22659,lunch box i love london,11504,20781.649999999998,2.3154016620498616,707,213,0.0019527751949537017,0.3165816304725632,A
22728,alarm clock bakelike pink,5356,20672.15,4.579835651074589,783,291,0.001942485882803443,0.31852411635536665,A
21479,white skull hot water bottle,3915,20582.2,4.986313725490196,499,252,0.0019340336122288695,0.32045814996759553,A
82494L,wooden frame antique white,6735,19599.49,3.2622028353326065,910,392,0.0018416919689121477,0.3222998419365077,A
84946,antique silver t-light glass,14664,19381.62,1.5028468208092487,689,348,0.0018212195265543672,0.324121061463062,A
22501,picnic basket wicker large,1602,19302.26,14.401595505617978,445,187,0.001813762359319257,0.32593482382238126,A
22328,round snack boxes set of 4 fruits,6835,19094.97,3.275880341880342,581,227,0.0017942840806377304,0.327729107903019,A
22467,gumball coat rack,7926,18798.670000000002,2.8794049346879533,681,262,0.0017664418597233766,0.32949554976274237,A
22969,homemade jam scented candles,12520,18771.149999999998,1.7925077399380807,646,429,0.0017638559065692656,0.3312594056693116,A
22383,lunch bag suki design,10301,18699.43,2.1189745916515426,1084,399,0.0017571166420266486,0.33301652231133827,A
15036,assorted colours silk fan,23826,18569.84,1.0677649325626204,518,194,0.0017449395464873604,0.3347614618578256,A
20726,lunch bag woodland,9909,18283.78,2.1818446601941743,1017,372,0.0017180595407001174,0.3364795213985257,A
21108,fairy cake flannel assorted colour,10241,18056.280000000002,2.3184790874524714,262,160,0.0016966822026710407,0.33817620360119677,A
22382,lunch bag spaceboy design,10427,18031.31,2.0130927835051544,1157,490,0.0016943358636354975,0.33987053946483226,A
22693,grow a flytrap or sunflower in tin,16244,17927.45,1.4859344262295082,305,167,0.0016845765215357175,0.34155511598636795,A
22835,hot water bottle i am so poorly,3441,17892.96,5.887280966767372,657,316,0.0016813356231241883,0.3432364516094921,A
22865,hand warmer owl design,8439,17786.13,2.359009009009009,654,375,0.001671297201051018,0.34490774881054315,A
21485,retrospot heart hot water bottle,3524,17663.98,5.63684375,623,371,0.0016598192149400212,0.34656756802548316,A
20914,set/5 red retrospot lid glass bowls,6073,17623.350000000002,3.2893721973094174,879,356,0.0016560013633175098,0.34822356938880067,A
22698,pink regency teacup and saucer,5788,17445.56,3.708229166666667,765,319,0.0016392950911056873,0.34986286447990633,A
22384,lunch bag pink polkadot,10487,17388.99,2.031925522252498,1090,444,0.0016339794163263252,0.35149684389623265,A
23203,jumbo bag doiley patterns,8893,17268.69,2.2405222437137335,514,299,0.001622675267909191,0.35311951916414186,A
21928,jumbo bag scandinavian blue paisley,8411,17239.69,2.683268072289157,662,232,0.00161995024459999,0.35473946940874185,A
22077,6 ribbons rustic charm,9172,17186.62,2.211237113402062,955,413,0.001614963451944152,0.356354432860686,A
22385,jumbo bag spaceboy design,8666,17071.59,2.6552167630057806,686,247,0.001604154506038725,0.35795858736672476,A
71477,colour glass. star t-light holder,5736,17069.7,3.93203007518797,264,145,0.0016039769096920218,0.35956256427641675,A
22197,small popcorn holder,20149,17045.8,1.0751602023608768,589,228,0.001601731114619956,0.3611642953910367,A
82583,hot baths metal sign,7258,16946.260000000002,2.955829307568438,609,206,0.0015923777070269264,0.36275667309806364,A
22492,mini paint set vintage,26633,16937.82,0.7850263157894737,380,213,0.0015915846312776277,0.36434825772934126,A
21754,home building block word,2759,16923.47,6.629308578745198,777,360,0.0015902362145711784,0.3659384939439124,A
20719,woodland charlotte bag,13290,16744.45,1.2108571428571429,833,238,0.0015734143637845175,0.3675119083076969,A
22993,set of 4 pantry jelly moulds,12649,16478.48,1.497788990825688,1073,431,0.0015484221413863035,0.3690603304490832,A
84978,hanging heart jar t-light holder,12493,16453.78,1.4836289222373806,728,304,0.0015461011732574323,0.37060643162234064,A
22624,ivory kitchen scales,1883,16378.710000000001,9.46253164556962,711,376,0.0015390471215394421,0.3721454787438801,A
84078A,set/4 white retro storage cubes,415,16363.300000000001,45.23225806451613,155,79,0.0015375991005327253,0.37368307784441285,A
23301,gardeners kneeling pad keep calm,8807,16327.35,1.9439673913043478,913,405,0.001534221011292526,0.3752172988557054,A
84029G,knitted union flag hot water bottle,3319,16148.04,5.203712446351931,459,211,0.0015173719102727732,0.37673467076597816,A
85152,hand over the chocolate   sign,8246,15928.730000000001,2.3584683357879235,677,270,0.001496764156412743,0.3782314349223909,A
15056BL,edwardian parasol black,2844,15828.84,6.430311526479751,321,142,0.0014873778606073606,0.3797188127829983,A
23313,vintage christmas bunting,2990,15798.66,5.548627450980392,401,254,0.0014845419570393714,0.3812033547400377,A
22379,recycling bag retrospot,6896,15607.59,3.1890400000000003,748,187,0.001466587812084577,0.3826699425521223,A
82483,wood 2 drawer cabinet white finish,2386,15123.92,6.952326007326008,543,241,0.0014211391216031543,0.3840910816737254,A
22084,paper chain kit empire,5181,15099.37,3.2728442437923255,436,277,0.0014188322484224342,0.38550991392214784,A
22900,set 2 tea towels i love london,4907,14938.43,3.734585635359116,533,194,0.0014037093087195785,0.3869136232308674,A
84997D,childrens cutlery polkadot pink,3666,14493.640000000001,4.503296398891967,358,208,0.0013619140287989054,0.38827553725966635,A
22752,set 7 babushka nesting boxes,1787,14427.97,9.79502617801047,380,188,0.0013557432604983802,0.3896312805201647,A
22866,hand warmer scotty dog design,6611,14366.52,2.3365124555160146,548,329,0.0013499690300725043,0.3909812495502372,A
22847,bread bin diner style ivory,901,14329.539999999999,17.415146666666665,375,214,0.0013464941555216678,0.3923277437057589,A
48184,doormat english rose,2035,14300.15,8.640073710073711,407,227,0.0013437324853472741,0.39367147619110615,A
22507,memo board retrospot  design,2960,14193.35,6.295599128540305,459,230,0.001333696882263734,0.3950051730733699,A
23200,jumbo bag pears,7067,14188.960000000001,2.4302508361204014,595,262,0.0013332843701145136,0.39633845744348445,A
21232,strawberry ceramic trinket box,10473,14117.58,1.6572816901408451,706,296,0.0013265770541210386,0.3976650344976055,A
22625,red kitchen scales,1620,14082.2,9.793315018315017,546,292,0.0013232525256838136,0.3989882870232893,A
22867,hand warmer bird design,6433,14061.890000000001,2.401336898395722,554,333,0.0013213440697041627,0.4003096310929935,A
22083,paper chain kit retrospot,4616,14051.640000000001,3.7658756137479545,610,294,0.0013203809149138416,0.4016300120079073,A
21930,jumbo storage bag skulls,6438,14006.2,2.7869887955182073,705,220,0.0013161110852872866,0.4029461230931946,A
23343,jumbo bag vintage christmas,6078,13972.710000000001,2.417366255144033,476,286,0.0013129641531967645,0.40425908724639137,A
22622,box of vintage alphabet blocks,1342,13931.31,12.382434456928838,267,174,0.0013090739475070774,0.40556816119389844,A
20971,pink blue felt craft trinket box,10993,13828.1,1.4207224334600759,522,277,0.0012993756835159521,0.4068675368774144,A
84077,world war 2 gliders asstd designs,54951,13814.009999999998,0.3207276119402985,535,307,0.0012980516980529643,0.40816558857546736,A
22941,christmas lights 10 reindeer,1670,13795.92,9.962893890675241,311,205,0.001296351847305949,0.40946194042277334,A
AMAZONFEE,amazon fee,2,13761.09,6880.545,2,0,0.0012930790003452776,0.4107550194231186,A
23077,doughnut lip gloss,10395,13695.77,1.345436046511628,344,217,0.0012869411202571048,0.4120419605433757,A
22171,3 hook photo shelf antique white,1794,13611.81,10.020785340314136,382,172,0.0012790517079453627,0.41332101225132106,A
22551,plasters in tin spaceboy,8074,13602.11,1.864023494860499,673,339,0.0012781402346315957,0.41459915248595264,A
21524,doormat spotty home sweet home,1752,13572.06,9.204553014553015,480,251,0.0012753165466853373,0.415874469032638,A
23356,love hot water bottle,2359,13334.32,6.205617283950618,476,316,0.0012529769935291494,0.41712744602616714,A
22554,plasters in tin woodland animals,7803,13328.27,1.9113445378151261,704,351,0.0012524084972870574,0.4183798545234542,A
22558,clothes pegs retrospot pack 24,8676,13325.869999999999,1.8339870967741934,772,363,0.0012521829781166408,0.41963203750157085,A
23207,lunch bag alphabet design,7830,13325.55,1.9909656084656082,740,377,0.0012521529088939185,0.42088419041046476,A
23108,set of 10 led dolly lights,2219,13290.52,6.469919571045577,372,271,0.0012488612686690458,0.4221330516791338,A
23328,set 6 school milk bottles in crate,2841,13269.49,4.845672371638142,405,195,0.00124688515693827,0.42337993683607206,A
22499,wooden union jack bunting,2091,12792.25,6.789317073170731,407,217,0.001202040669900922,0.424581977505973,A
22113,grey heart hot water bottle,3220,12763.08,4.404398625429553,561,337,0.0011992996723171497,0.4257812771782901,A
22427,enamel flower jug cream,2106,12647.26,6.567013752455796,506,311,0.0011884164930181268,0.42696969367130827,A
20750,red retrospot mini cases,1747,12634.98,8.121839378238343,385,235,0.0011872625865961617,0.42815695625790445,A
20749,assorted colour mini cases,1762,12550.57,8.065298701298701,383,239,0.0011793308894399667,0.4293362871473444,A
20723,strawberry charlotte bag,9793,12548.15,1.2022176308539945,722,230,0.0011791034909431298,0.43051539063828753,A
22607,wooden rounders garden set,1327,12531.57,10.739052924791086,358,224,0.001177545529340835,0.4316929361676284,A
21790,vintage snap cards,14521,12510.01,1.0157754010695188,926,449,0.0011755196154599255,0.4328684557830883,A
22188,black heart card holder,4870,12483.220000000001,4.3502645502645505,189,123,0.00117300225772015,0.43404145804080846,A
21755,love building block word,2011,12435.86,6.695205047318613,629,337,0.0011685520127572616,0.43521001005356574,A
22568,feltcraft cushion owl,3373,12413.89,4.162959830866807,470,244,0.0011664875726847392,0.43637649762625047,A
22424,enamel bread bin cream,873,12358.33,15.894339207048457,454,189,0.001161266803889594,0.4375377644301401,A
22149,feltcraft 6 flower friends,6070,12357.08,2.455298372513562,547,337,0.0011611493459883354,0.4386989137761284,A
23174,regency sugar bowl green,3055,12342.43,4.795123456790124,322,190,0.001159772739385584,0.43985868651551396,A
21977,pack of 60 pink paisley cake cases,24820,12226.32,0.7446931818181819,869,410,0.001148862309853469,0.4410075488253674,A
48188,doormat welcome puppies,2064,12107.02,8.819268292682928,287,163,0.001137652127757342,0.44214520095312476,A
47590B,pink happy birthday bunting,2323,12050.12,5.82266497461929,393,238,0.0011323054440920478,0.4432775063972168,A
22273,feltcraft doll molly,4509,12001.59,3.2667267267267266,331,211,0.0011277452585335814,0.4444052516557504,A
22191,ivory diner wall clock,1445,11911.65,8.85322966507177,415,239,0.0011192939276222177,0.4455245455833726,A
21430,set/3 red gingham rose storage box,3034,11905.95,4.931106471816284,477,186,0.0011187583195924784,0.4466433039029651,A
82486,wood s/3 cabinet ant white finish,1402,11885.98,9.038246913580247,403,183,0.00111688181216197,0.44776018571512705,A
22087,paper bunting white lace,4082,11872.58,3.396042296072508,326,155,0.001115622663460477,0.44887580837858754,A
22193,red diner wall clock,1400,11857.07,9.24141304347826,460,206,0.0011141652458216595,0.4499899736244092,A
22158,3 hearts hanging decoration rustic,3413,11797.380000000001,3.352964169381108,303,196,0.001108556396120756,0.4510985300205299,A
22502,picnic basket wicker small,1876,11789.27,7.54717672413793,461,175,0.0011077943292573896,0.4522063243497873,A
23300,gardeners kneeling pad cup of tea,6809,11785.99,1.9087597911227152,758,351,0.0011074861197244868,0.4533138104695118,A
21936,red retrospot picnic bag,3985,11665.19,3.7098496240601504,531,223,0.0010961349881468494,0.45440994545765867,A
23581,jumbo bag paisley park,5020,11581.83,2.256289855072464,338,230,0.0010883019556277116,0.4554982474132864,A
22692,doormat welcome to our home,1522,11539.06,9.598148984198644,443,231,0.0010842830160782452,0.45658253042936464,A
21217,red retrospot round cake tins,1088,11522.44,12.575697674418604,344,167,0.00108272129582311,0.45766525172518774,A
22730,alarm clock bakelike ivory,2885,11453.4,4.418076923076923,570,241,0.0010762338610207913,0.45874148558620853,A
21481,fawn blue hot water bottle,3307,11443.87,4.10572,490,253,0.0010753383619815954,0.4598168239481901,A
22356,charlotte bag pink polkadot,9716,11417.74,1.252092715231788,742,220,0.0010728830220136842,0.4608897069702038,A
21216,"set 3 retrospot tea,coffee,sugar",2128,11382.81,7.409124423963133,430,150,0.0010696007784209121,0.4619593077486247,A
22041,"record frame 7"" single size",4374,11354.56,3.676493150684932,361,73,0.0010669462298524663,0.4630262539784772,A
21080,set/20 red retrospot paper napkins,13202,11312.56,1.0935721393034825,986,427,0.001062999644370175,0.46408925362284736,A
21340,classic metal birdcage plant holder,975,11300.02,13.383676975945017,290,179,0.0010618213067047483,0.4651510749295521,A
22605,wooden croquet garden set,782,11276.21,16.2249,299,181,0.001059583968601573,0.46621065889815366,A
47566B,tea time party bunting,2379,11275.27,5.564371584699454,365,192,0.0010594956402598266,0.4672701545384135,A
22570,feltcraft cushion rabbit,3086,11204.97,4.297686375321336,386,202,0.0010528898078930394,0.4683230443463065,A
23170,regency tea plate roses,6857,11097.25,2.075707865168539,445,224,0.0010427677557941727,0.46936581210210065,A
22413,metal sign take it or leave it,3774,11095.94,3.3484375,412,228,0.0010426446599136536,0.4704084567620143,A
B,adjust bad debt,1,11062.06,11062.06,1,0,0.0010394610809579387,0.47144791784297224,A
22662,lunch bag dolly girl design,6706,11060.88,1.9342608695652173,682,310,0.0010393502006991505,0.4724872680436714,A
20711,jumbo bag toys,5007,11014.62,3.1267175572519084,522,152,0.00103500331868937,0.4735222713623608,A
85014B,red retrospot umbrella,1910,10952.2,6.828942857142858,350,210,0.0010291379409321172,0.4745514093032929,A
85048,15cm christmas glass ball 20 lights,1359,10910.61,9.306958174904944,261,170,0.001025229881641439,0.47557663918493437,A
22988,soldiers egg cup,9073,10858.31,1.4978199052132701,418,197,0.0010203154430527763,0.4765969546279871,A
23209,lunch bag vintage doily,6548,10797.0,1.8969934640522876,601,319,0.0010145543679118414,0.477611508995899,A
22617,baking set spaceboy design,2209,10745.05,5.468758029978586,464,296,0.0010096728175355313,0.47862118181343455,A
22846,bread bin diner style red,665,10676.619999999999,17.699460431654675,278,158,0.0010032427021890269,0.4796244245156236,A
22734,set of 6 ribbons vintage christmas,3261,10610.04,3.5106250000000006,422,278,0.0009969864245363855,0.48062141094016,A
21891,traditional wooden skipping rope,8130,10504.85,1.592523148148148,425,264,0.0009871021072296665,0.48160851304738966,A
21791,vintage heads and tails card game,7864,10504.4,1.5057937806873976,607,342,0.000987059822385213,0.4825955728697749,A
23209,lunch bag doiley pattern,6551,10502.19,1.7325754527162975,492,290,0.0009868521568157879,0.48358242502659066,A
47590A,blue happy birthday bunting,1990,10491.75,5.864717948717949,390,228,0.0009858711484244755,0.4845682961750151,A
84755,colour glass t-light holder hanging,16401,10487.050000000001,0.7275401929260451,621,318,0.000985429506715743,0.4855537256817309,A
23208,lunch bag vintage leaf design,6308,10441.91,1.9362038404726736,668,305,0.00098118786698549,0.48653491354871636,A
22992,revolver wooden ruler,5233,10373.99,2.2714044943820224,348,217,0.0009748056744626993,0.48750971922317904,A
22169,family album white picture frame,1197,10345.76,10.152849462365591,372,165,0.0009721530052206736,0.4884818722283997,A
21914,blue harmonica in box,7876,10339.81,1.4315409836065573,603,306,0.0009715939056106822,0.4894534661340104,A
84997B,childrens cutlery retrospot red,2634,10316.86,4.4931698113207545,262,157,0.0009694373785435733,0.49042290351255396,A
84947,antique silver tea glass engraved,8652,10229.77,1.471534090909091,347,177,0.0009612538516470796,0.49138415736420105,A
23582,vintage doily jumbo bag red,4802,10206.41,2.2147709923664123,259,186,0.0009590587983883576,0.4923432161625894,A
82600,no singing metal sign,4788,10193.76,2.53742,496,207,0.00095787012442762,0.493301086287017,A
84997C,childrens cutlery polkadot blue,2582,10150.76,4.406824034334764,233,150,0.0009538295726243219,0.4942549158596413,A
22970,london bus coffee mug,4334,10140.6,2.730219435736677,317,180,0.0009528748748028915,0.4952077907344442,A
21218,red spotty biscuit tin,2433,10116.49,5.90964824120603,394,130,0.0009506093468034144,0.4961584000812476,A
22569,feltcraft cushion butterfly,2759,10110.83,4.278142857142857,348,192,0.0009500774974265151,0.49710847757867416,A
22556,plasters in tin circus parade,6113,10061.86,1.7862045060658576,571,305,0.0009454759666868057,0.498053953545361,A
22621,traditional knitting nancy,6148,10053.65,1.8817932148626817,609,366,0.0009447045031913387,0.4989986580485523,A
23171,regency tea plate green,6247,10051.99,2.128433420365535,381,195,0.0009445485190984673,0.4999432065676508,A
22633,hand warmer union jack,4851,10023.720000000001,2.1974036511156188,479,300,0.0009418920912036014,0.5008850986588544,A
20679,edwardian parasol red,1710,10021.42,7.003669724770643,326,141,0.0009416759686652854,0.5018267746275197,A
48173C,doormat black flock,1799,10000.66,8.200425531914894,188,105,0.0009397252278411814,0.5027664998553608,A
22690,doormat home sweet home blue,1619,9943.7,8.34332167832168,285,198,0.0009343729061966267,0.5037008727615574,A
23076,ice cream sundae lip gloss,8076,9935.76,1.35028880866426,277,202,0.0009336268136078316,0.5046344995751653,A
22619,set of 6 soldier skittles,2480,9895.04,4.664125560538116,443,250,0.0009298005050164294,0.5055643000801817,A
22654,deluxe sewing kit,1411,9893.0,7.752151515151516,328,157,0.0009296088137215752,0.5064939088939033,A
22791,t-light glass fluted antique,7955,9873.880000000001,1.5130057803468209,345,184,0.0009278121776639227,0.5074217210715672,A
22555,plasters in tin strongman,6010,9841.83,1.8509351145038169,515,294,0.0009248005570756505,0.5083465216286429,A
21314,small glass heart trinket pot,4246,9798.980000000001,2.8415313653136534,541,215,0.0009207741002205036,0.5092672957288634,A
22838,3 tier cake tin red and cream,689,9765.11,17.272142857142857,168,115,0.0009175914609279987,0.5101848871897914,A
22766,photo frame cornice,3267,9755.09,3.213877952755906,504,278,0.0009166499183915093,0.5111015371081828,A
22561,wooden school colouring set,5883,9741.57,1.777737556561086,433,288,0.0009153794937314955,0.5120169166019144,A
21559,strawberry lunch box with cutlery,3933,9735.380000000001,3.130447504302926,573,233,0.0009147978422044627,0.5129317144441189,A
23240,set of 4 knick knack tins doily,2352,9726.48,4.541388888888889,353,230,0.0009139615419475009,0.5138456759860663,A
22776,sweetheart cakestand 3 tier,958,9687.3,11.18424403183024,377,252,0.0009102799414904492,0.5147559559275567,A
22144,christmas craft little friends,4073,9662.28,2.5802712477396024,544,319,0.0009079289041388559,0.5156638848316956,A
22844,vintage cream dog food container,1003,9661.32,10.829090909090908,416,176,0.0009078386964706892,0.5165717235281663,A
