stock_code,description,total_quantity_sold,total_revenue,total_revenue_capped,total_orders,unique_customers,avg_unit_price,avg_quantity_per_order,first_sale_date,last_sale_date,product_active_days,avg_daily_quantity_sold,revenue_per_order
23298,spotty bunting,8320,42513.48,37099.4,1140,571,5.52396013864818,7.209705372616984,2011-05-04 13:57:00,2011-12-09 12:16:00,218,37.990867579908674,37.29252631578947
22386,jumbo bag pink polkadot,21448,42401.01,35479.96,1218,372,2.598733766233766,17.40909090909091,2010-12-01 09:37:00,2011-12-09 12:19:00,373,57.3475935828877,34.81199507389163
21137,black record cover frame,11651,40633.38,22147.739999999998,375,140,4.215585106382979,30.986702127659573,2010-12-01 12:27:00,2011-12-09 12:00:00,372,31.23592493297587,108.35567999999999
22502,picnic basket wicker 60 pieces,61,39619.5,367.2,2,1,649.5,30.5,2011-06-10 15:28:00,2011-06-10 15:33:00,0,61.0,19809.75
23284,doormat keep calm and come in,5487,38133.64,27850.78,728,378,8.776284153005465,7.495901639344262,2011-04-27 12:57:00,2011-12-09 10:03:00,225,24.278761061946902,52.38137362637362
22720,set of 3 cake tins pantry design,7483,38108.89,30739.77,1385,640,5.83371408045977,5.375718390804598,2010-12-13 15:13:00,2011-12-09 10:03:00,360,20.72853185595568,27.5154440433213
22960,jam making set with jars,8695,37082.13,33501.68,1132,573,5.077669902912621,7.6743159752868495,2010-12-01 08:34:00,2011-12-09 10:26:00,373,23.24866310160428,32.758065371024735
82484,wood black board ant white finish,6012,35966.92,23235.52,685,285,8.440540145985402,8.776642335766423,2010-12-01 09:53:00,2011-12-09 10:03:00,373,16.074866310160427,52.50645255474452
20725,lunch bag red retrospot,19232,35572.36,34847.82,1564,532,2.131853257432005,12.164452877925363,2010-12-01 09:37:00,2011-12-09 12:23:00,373,51.42245989304813,22.74447570332481
22197,popcorn holder,36749,34288.67,21631.97,803,295,1.0208363636363635,44.54424242424243,2011-06-12 12:01:00,2011-12-09 12:19:00,180,203.0331491712707,42.700709838107095
22178,victorian glass hanging t-light,24275,33146.82,30836.42,1037,403,1.6440249759846302,23.318924111431315,2010-12-01 11:41:00,2011-12-09 12:31:00,373,64.90641711229947,31.964146576663452
22114,hot water bottle tea and sympathy,5740,32973.44,23216.04,643,325,5.024473684210526,8.885448916408668,2010-12-01 09:32:00,2011-12-09 10:26:00,373,15.3475935828877,51.28062208398134
22910,paper chain kit vintage christmas,10594,32843.840000000004,27470.79,820,470,3.3676774969915764,12.748495788206979,2010-12-01 10:19:00,2011-12-09 12:19:00,373,28.32620320855615,40.05346341463415
22112,chocolate hot water bottle,6017,32826.58,29946.06,858,382,6.075206422018349,6.900229357798165,2010-12-01 10:52:00,2011-12-09 11:26:00,373,16.08823529411765,38.259417249417254
85099F,jumbo bag strawberry,17237,32495.59,25938.24,812,315,2.3821568627450977,21.123774509803923,2010-12-01 11:45:00,2011-12-08 16:30:00,372,46.211796246648795,40.01919950738916
22469,heart of wicker small,17963,32094.6,23259.94,1201,573,1.959712879409352,14.735849056603774,2010-12-01 09:53:00,2011-12-09 11:34:00,373,48.029411764705884,26.72323064113239
23245,set of 3 regency cake tins,6345,31118.550000000003,25062.03,873,472,5.883424657534246,7.243150684931507,2011-06-08 12:02:00,2011-12-09 12:08:00,184,34.2972972972973,35.64553264604811
21931,jumbo storage bag suki,13651,30764.010000000002,30013.38,1184,333,2.746616415410385,11.432998324958124,2010-12-01 09:37:00,2011-12-09 12:19:00,373,36.5,25.983116554054057
22727,alarm clock bakelike red,7800,30644.87,24642.22,1051,388,4.396880301602262,7.351555136663525,2010-12-01 08:45:00,2011-12-09 12:50:00,373,20.855614973262032,29.157821122740245
23199,jumbo bag apples,14908,30450.690000000002,26765.49,978,344,2.5699290060851925,15.119675456389452,2011-04-11 16:47:00,2011-12-09 12:19:00,241,61.603305785123965,31.13567484662577
22470,heart of wicker large,9887,30098.110000000004,18306.870000000003,925,485,3.2850427350427354,10.563034188034187,2010-12-01 09:53:00,2011-12-08 17:54:00,372,26.506702412868634,32.538497297297305
22355,charlotte bag suki design,18124,29254.15,22495.29,882,249,1.2166067415730337,20.364044943820225,2010-12-01 14:05:00,2011-12-09 10:23:00,372,48.58981233243968,33.16797052154195
22699,roses regency teacup and saucer,9864,29056.920000000002,25645.02,1065,423,3.661425908667288,9.19291705498602,2010-12-01 12:50:00,2011-12-09 10:26:00,372,26.445040214477213,27.283492957746482
23355,hot water bottle keep calm,5816,28718.8,25039.1,782,474,5.271557788944723,7.306532663316583,2011-08-22 13:32:00,2011-12-09 11:56:00,108,53.357798165137616,36.72480818414322
22411,jumbo shopper vintage red paisley,12574,28577.1,28043.51,1175,375,2.689254237288136,10.655932203389831,2010-12-01 09:41:00,2011-12-09 12:19:00,373,33.62032085561497,24.320936170212764
20685,doormat red retrospot,4088,28049.54,22882.64,696,329,8.953529411764706,5.865136298421808,2010-12-01 11:41:00,2011-12-09 12:49:00,373,10.93048128342246,40.30106321839081
85099C,jumbo  bag baroque black white,13900,28047.74,25691.43,933,306,2.605185577942736,14.74019088016967,2010-12-01 09:37:00,2011-12-09 12:19:00,373,37.16577540106952,30.061886387995713
22457,natural slate heart chalkboard,9119,27991.610000000004,26193.81,1249,587,3.59003187250996,7.266135458167331,2010-12-01 09:53:00,2011-12-09 10:26:00,373,24.38235294117647,22.411216973578867
23201,jumbo bag alphabet,13366,27850.83,23287.28,906,396,2.3900109769484086,14.67178924259056,2011-04-11 16:47:00,2011-12-09 12:19:00,241,55.231404958677686,30.74043046357616
22726,alarm clock bakelike green,6419,27155.28,24314.27,980,322,4.54201213346815,6.490394337714863,2010-12-01 08:45:00,2011-12-09 12:50:00,373,17.163101604278076,27.7094693877551
84347,rotating silver angels t-light hldr,9461,26425.579999999998,18291.12,449,192,3.415258620689655,20.39008620689655,2010-12-01 11:41:00,2011-12-09 12:19:00,373,25.296791443850267,58.85429844097995
21915,red  harmonica in box,21903,26294.08,15448.83,661,349,1.4255722891566265,32.98644578313253,2010-12-01 11:41:00,2011-12-07 15:07:00,371,58.87903225806452,39.77924357034796
22666,recipe box pantry yellow design,8269,26219.95,21368.15,1111,471,3.7048793565683646,7.389633601429848,2010-12-01 13:24:00,2011-12-09 10:26:00,372,22.168900804289546,23.60031503150315
21175,gin + tonic diet metal sign,11709,25792.47,17409.03,759,330,2.7445669291338586,15.366141732283465,2010-12-01 09:41:00,2011-11-30 17:22:00,364,32.07945205479452,33.98217391304348
22629,spaceboy lunch box,14249,25719.02,20727.02,900,322,2.193337016574586,15.744751381215469,2010-12-01 08:45:00,2011-12-09 12:50:00,373,38.098930481283425,28.57668888888889
22961,jam making set printed,16396,25637.78,23122.68,1162,537,1.9049140893470793,14.085910652920962,2010-12-01 09:41:00,2011-12-09 10:26:00,373,43.839572192513366,22.063493975903615
48138,doormat union flag,3751,25534.15,19880.35,616,313,8.891294498381876,6.06957928802589,2010-12-01 14:03:00,2011-12-09 10:26:00,372,10.056300268096514,41.45154220779221
21181,please one person metal sign,12274,25225.480000000003,22176.760000000002,845,361,2.426067677946324,14.322053675612603,2010-12-01 15:08:00,2011-12-09 10:26:00,372,32.90616621983914,29.852639053254443
23173,regency teapot roses,2766,24879.13,16578.63,416,248,11.119714964370546,6.5700712589073635,2011-05-10 10:34:00,2011-12-09 10:20:00,212,12.985915492957746,59.80560096153847
21621,vintage union jack bunting,2787,24525.83,17913.1,475,267,9.4460206185567,5.74639175257732,2010-12-01 12:31:00,2011-12-06 13:20:00,370,7.512129380053908,51.633326315789475
23203,jumbo bag vintage doily,11448,24489.08,19619.73,711,363,2.300598885793872,15.944289693593316,2011-08-05 16:43:00,2011-12-09 09:38:00,125,90.85714285714286,34.44315049226442
22111,scottie dog hot water bottle,4655,24455.39,20517.68,771,425,5.805300896286813,5.960307298335468,2010-12-01 10:52:00,2011-12-09 11:26:00,373,12.446524064171124,31.719053177691308
22722,set of 6 spice tins pantry design,5966,24436.260000000002,17509.21,834,393,4.676517119244393,7.043683589138134,2010-12-13 15:13:00,2011-12-09 10:26:00,360,16.526315789473685,29.300071942446046
22326,round snack boxes set of4 woodland,8535,24364.870000000003,20019.670000000002,732,281,3.4687721691678037,11.643929058663028,2010-12-01 08:45:00,2011-12-09 12:09:00,373,22.82085561497326,33.28534153005465
22138,baking set 9 piece retrospot,4937,24185.27,21191.57,934,581,5.353144989339019,5.2633262260127935,2010-12-21 14:26:00,2011-12-09 12:50:00,352,13.98583569405099,25.89429336188437
48187,doormat new england,3807,24108.39,16990.49,600,314,8.464717607973423,6.323920265780731,2010-12-01 08:34:00,2011-12-09 12:00:00,373,10.179144385026738,40.18065
21731,red toadstool led night light,14001,23919.78,20326.68,849,266,2.3904327485380117,16.37543859649123,2010-12-01 08:45:00,2011-12-09 10:46:00,373,37.43582887700535,28.17406360424028
48185,doormat fairy cake,3615,23872.91,10784.91,365,143,10.12136612021858,9.87704918032787,2010-12-01 10:52:00,2011-12-08 19:29:00,372,9.691689008042895,65.40523287671233
23344,jumbo bag 50's christmas,10285,23772.07,19220.87,716,391,2.4177423822714683,14.245152354570637,2011-06-15 13:25:00,2011-12-09 12:19:00,176,58.10734463276836,33.201215083798886
23243,set of tea coffee sugar tins pantry,4800,23489.42,12032.89,470,275,5.866072186836518,10.19108280254777,2011-06-08 08:12:00,2011-12-09 10:03:00,184,25.945945945945947,49.977489361702126
22189,cream heart card holder,8284,23435.82,12516.45,524,274,4.4527186311787075,15.749049429657795,2010-12-01 09:53:00,2011-12-08 18:43:00,372,22.20911528150134,44.72484732824427
21733,red hanging heart t-light holder,7872,23199.24,16570.68,741,385,3.160996015936255,10.45418326693227,2010-12-01 09:32:00,2011-12-08 14:38:00,372,21.10455764075067,31.308016194331987
21929,jumbo bag pink vintage paisley,11006,23179.06,21325.46,865,308,2.678348623853211,12.621559633027523,2010-12-01 09:37:00,2011-12-09 12:19:00,373,29.427807486631018,26.796601156069364
82482,wooden picture frame white finish,8986,23057.06,21817.14,1100,410,3.1030650994575044,8.124773960216999,2010-12-01 09:02:00,2011-12-09 10:26:00,373,24.02673796791444,20.960963636363637
20713,jumbo bag owls,11429,23001.06,18713.7,657,207,2.7772809667673717,17.264350453172206,2010-12-01 11:45:00,2011-12-09 12:19:00,373,30.558823529411764,35.00922374429224
21623,vintage union jack memoboard,3269,22980.239999999998,6363.5599999999995,221,139,10.374389140271493,14.79185520361991,2010-12-02 13:32:00,2011-12-08 13:18:00,370,8.81132075471698,103.98298642533936
22139,retrospot tea set ceramic 11 pc,4518,22868.260000000002,22283.86,962,488,5.730788381742739,4.686721991701245,2010-12-01 09:41:00,2011-12-09 11:59:00,373,12.080213903743315,23.771580041580044
22090,paper bunting retrospot,7562,22785.06,21846.66,798,325,3.7798004987531173,9.428927680798004,2010-12-01 14:32:00,2011-12-08 10:24:00,371,20.327956989247312,28.552706766917296
22697,green regency teacup and saucer,7278,22755.5,22204.7,1013,387,3.835362035225049,7.12133072407045,2010-12-01 12:51:00,2011-12-09 10:26:00,372,19.512064343163537,22.463474827245804
85066,cream sweetheart mini chest,1784,22594.2,18201.94,519,289,14.308129770992366,3.404580152671756,2010-12-02 17:41:00,2011-12-09 10:45:00,371,4.795698924731183,43.534104046242774
20727,lunch bag  black skull.,12195,22346.96,22240.56,1273,458,2.1077863182167564,9.373558800922368,2010-12-01 11:29:00,2011-12-09 11:34:00,373,32.606951871657756,17.554564021995287
15056N,edwardian parasol natural,3950,22152.690000000002,17706.59,456,184,6.94886462882096,8.624454148471616,2010-12-01 09:41:00,2011-12-09 10:20:00,373,10.561497326203208,48.5804605263158
48194,doormat hearts,3416,22114.42,15243.42,592,286,9.247993254637437,5.760539629005059,2010-12-01 11:41:00,2011-12-08 19:29:00,372,9.158176943699733,37.355439189189184
20712,jumbo bag woodland animals,9773,22092.420000000002,20447.41,863,248,2.9266168009205984,11.24626006904488,2010-12-01 13:04:00,2011-12-09 10:26:00,372,26.201072386058982,25.599559675550406
84029E,red woolly hottie white heart.,4734,22025.73,14570.99,429,228,5.128721461187215,10.808219178082192,2010-12-01 08:26:00,2011-12-09 10:26:00,373,12.657754010695188,51.34202797202797
23202,jumbo bag vintage leaf,10941,21810.43,20961.13,879,377,2.2962302483069976,12.348758465011286,2011-05-06 15:40:00,2011-12-09 10:03:00,216,50.41935483870968,24.81277588168373
20724,red retrospot charlotte bag,17761,21773.39,20756.239999999998,1032,335,1.1461973180076628,17.012452107279692,2010-12-01 14:32:00,2011-12-09 10:23:00,372,47.61662198391421,21.098246124031007
20728,lunch bag cars blue,11786,21699.48,21418.88,1150,479,2.063580034423408,10.142857142857142,2010-12-01 11:29:00,2011-12-09 10:26:00,372,31.597855227882036,18.86911304347826
22630,dolly girl lunch box,11780,21609.789999999997,16783.39,850,287,2.3315268065268064,13.72960372960373,2010-12-01 11:49:00,2011-12-09 10:03:00,372,31.58176943699732,25.423282352941172
21523,doormat fancy font home sweet home,3245,21593.74,15761.76,502,203,9.514820717131473,6.464143426294821,2010-12-01 09:41:00,2011-12-09 10:26:00,373,8.676470588235293,43.01541832669323
21843,red retrospot cake stand,2012,21354.3,17418.3,539,260,12.607560073937153,3.7190388170055453,2010-12-01 13:31:00,2011-12-09 10:26:00,372,5.394101876675603,39.618367346938776
21212,pack of 72 retrospot cake cases,36396,21246.45,19472.34,1320,635,0.7612056213017753,26.920118343195266,2010-12-01 09:37:00,2011-12-09 10:23:00,373,97.31550802139037,16.095795454545456
21166,cook with wine metal sign,10324,20874.440000000002,16723.64,723,287,2.3886126373626375,14.18131868131868,2010-12-01 09:41:00,2011-12-09 10:26:00,373,27.60427807486631,28.87197786998617
23206,lunch bag apple design,12147,20852.58,20170.88,1036,401,2.0589553656220323,11.535612535612536,2011-04-11 16:47:00,2011-12-09 10:23:00,241,50.19421487603306,20.127972972972973
22659,lunch box i love london,11504,20781.649999999998,15952.949999999999,707,213,2.3154016620498616,15.933518005540167,2010-12-01 08:45:00,2011-12-09 10:26:00,373,30.759358288770052,29.394130127298443
22728,alarm clock bakelike pink,5356,20672.15,15469.19,783,291,4.579835651074589,6.77117572692794,2010-12-01 08:45:00,2011-12-09 12:50:00,373,14.320855614973262,26.401213282247767
21479,white skull hot water bottle,3915,20582.2,14789.29,499,252,4.986313725490196,7.676470588235294,2010-12-01 10:52:00,2011-12-09 11:56:00,373,10.467914438502675,41.246893787575154
82494L,wooden frame antique white,6735,19599.49,19293.49,910,392,3.2622028353326065,7.344601962922574,2010-12-01 09:02:00,2011-12-08 19:55:00,372,18.056300268096514,21.537901098901102
84946,antique silver t-light glass,14664,19381.62,18400.76,689,348,1.5028468208092487,21.190751445086704,2011-03-18 11:22:00,2011-12-09 12:31:00,266,54.92134831460674,28.13007256894049
22501,picnic basket wicker large,1602,19302.26,14582.369999999999,445,187,14.401595505617978,3.6,2010-12-01 12:43:00,2011-11-06 15:01:00,340,4.697947214076247,43.37586516853932
22328,round snack boxes set of 4 fruits,6835,19094.97,13946.52,581,227,3.275880341880342,11.683760683760683,2010-12-01 11:49:00,2011-12-09 12:09:00,373,18.27540106951872,32.86569707401033
22467,gumball coat rack,7926,18798.670000000002,17836.870000000003,681,262,2.8794049346879533,11.503628447024674,2010-12-01 11:21:00,2011-12-09 10:03:00,372,21.249329758713138,27.6045080763583
22969,homemade jam scented candles,12520,18771.149999999998,14461.949999999999,646,429,1.7925077399380807,19.38080495356037,2010-12-01 09:59:00,2011-12-09 10:03:00,373,33.475935828877006,29.057507739938078
22383,lunch bag suki design,10301,18699.43,18597.73,1084,399,2.1189745916515426,9.347549909255898,2011-02-21 18:10:00,2011-12-09 10:23:00,290,35.39862542955326,17.25039667896679
15036,assorted colours silk fan,23826,18569.84,12787.64,518,194,1.0677649325626204,45.907514450867055,2010-12-02 15:03:00,2011-12-09 10:03:00,371,64.04838709677419,35.849111969111966
20726,lunch bag woodland,9909,18283.78,17964.58,1017,372,2.1818446601941743,9.620388349514563,2010-12-01 11:21:00,2011-12-09 10:26:00,372,26.5656836461126,17.978151425762043
21108,fairy cake flannel assorted colour,10241,18056.280000000002,5101.68,262,160,2.3184790874524714,38.93916349809886,2010-12-01 11:21:00,2011-12-09 11:26:00,373,27.38235294117647,68.91709923664123
22382,lunch bag spaceboy design,10427,18031.31,17610.11,1157,490,2.0130927835051544,8.957903780068728,2010-12-01 11:21:00,2011-12-08 16:30:00,372,27.9544235924933,15.584537597234227
22693,grow a flytrap or sunflower in tin,16244,17927.45,10477.88,305,167,1.4859344262295082,53.25901639344262,2010-12-06 17:26:00,2011-12-09 10:03:00,367,44.141304347826086,58.77852459016394
22835,hot water bottle i am so poorly,3441,17892.96,16709.760000000002,657,316,5.887280966767372,5.197885196374623,2010-12-01 10:52:00,2011-12-09 10:23:00,372,9.225201072386058,27.234337899543377
22865,hand warmer owl design,8439,17786.13,15960.960000000001,654,375,2.359009009009009,12.67117117117117,2010-12-01 10:39:00,2011-12-09 10:26:00,372,22.62466487935657,27.19591743119266
21485,retrospot heart hot water bottle,3524,17663.98,14828.380000000001,623,371,5.63684375,5.50625,2010-12-01 10:19:00,2011-12-09 11:26:00,373,9.422459893048128,28.35309791332263
20914,set/5 red retrospot lid glass bowls,6073,17623.350000000002,16536.55,879,356,3.2893721973094174,6.808295964125561,2010-12-01 11:32:00,2011-12-09 10:03:00,372,16.281501340482574,20.04931740614335
22698,pink regency teacup and saucer,5788,17445.56,16772.36,765,319,3.708229166666667,7.536458333333333,2010-12-09 11:28:00,2011-12-09 12:20:00,365,15.814207650273223,22.804653594771242
22384,lunch bag pink polkadot,10487,17388.99,17248.69,1090,444,2.031925522252498,9.524977293369664,2010-12-01 11:21:00,2011-12-09 10:26:00,372,28.115281501340483,15.953201834862387
23203,jumbo bag doiley patterns,8893,17268.69,14827.49,514,299,2.2405222437137335,17.201160541586074,2011-05-06 15:54:00,2011-11-09 13:56:00,186,47.55614973262032,33.59667315175097
21928,jumbo bag scandinavian blue paisley,8411,17239.69,16079.93,662,232,2.683268072289157,12.667168674698795,2011-02-21 18:15:00,2011-12-09 10:26:00,290,28.903780068728523,26.041827794561932
22077,6 ribbons rustic charm,9172,17186.62,16547.62,955,413,2.211237113402062,9.455670103092784,2010-12-01 11:49:00,2011-12-09 12:09:00,373,24.524064171122994,17.996460732984293
22385,jumbo bag spaceboy design,8666,17071.59,14567.99,686,247,2.6552167630057806,12.523121387283236,2010-12-02 11:57:00,2011-12-08 16:30:00,371,23.295698924731184,24.885699708454812
71477,colour glass. star t-light holder,5736,17069.7,10180.82,264,145,3.93203007518797,21.56390977443609,2010-12-01 16:52:00,2011-11-29 11:40:00,362,15.801652892561984,64.65795454545454
22197,small popcorn holder,20149,17045.8,11732.05,589,228,1.0751602023608768,33.97807757166948,2010-12-01 10:19:00,2011-09-19 10:10:00,291,69.00342465753425,28.9402376910017
82583,hot baths metal sign,7258,16946.260000000002,14515.78,609,206,2.955829307568438,11.687600644122384,2010-12-01 14:32:00,2011-12-09 10:23:00,372,19.458445040214478,27.826371100164206
22492,mini paint set vintage,26633,16937.82,13240.57,380,213,0.7850263157894737,70.08684210526316,2010-12-01 08:45:00,2011-12-08 16:29:00,372,71.40214477211796,44.57321052631579
21754,home building block word,2759,16923.47,16910.87,777,360,6.629308578745198,3.532650448143406,2010-12-01 08:34:00,2011-12-09 10:26:00,373,7.377005347593583,21.780527670527672
20719,woodland charlotte bag,13290,16744.45,16368.41,833,238,1.2108571428571429,15.821428571428571,2010-12-01 14:32:00,2011-12-09 10:23:00,372,35.630026809651476,20.10138055222089
22993,set of 4 pantry jelly moulds,12649,16478.48,15517.92,1073,431,1.497788990825688,11.604587155963303,2011-02-16 15:13:00,2011-12-09 12:19:00,295,42.733108108108105,15.357390493942217
84978,hanging heart jar t-light holder,12493,16453.78,15468.18,728,304,1.4836289222373806,17.043656207366986,2010-12-05 12:43:00,2011-12-09 10:03:00,368,33.856368563685635,22.60134615384615
22624,ivory kitchen scales,1883,16378.710000000001,15682.56,711,376,9.46253164556962,2.648382559774965,2010-12-01 12:58:00,2011-12-09 12:08:00,372,5.048257372654155,23.036160337552744
84078A,set/4 white retro storage cubes,415,16363.300000000001,11450.95,155,79,45.23225806451613,2.6774193548387095,2010-12-06 09:58:00,2011-12-08 09:20:00,366,1.1307901907356948,105.56967741935485
23301,gardeners kneeling pad keep calm,8807,16327.35,15147.789999999999,913,405,1.9439673913043478,9.572826086956521,2011-05-15 11:43:00,2011-12-09 11:26:00,207,42.34134615384615,17.88318729463308
84029G,knitted union flag hot water bottle,3319,16148.04,14010.64,459,211,5.203712446351931,7.122317596566524,2010-12-01 08:26:00,2011-12-09 11:26:00,373,8.87433155080214,35.18091503267974
85152,hand over the chocolate   sign,8246,15928.730000000001,13863.550000000001,677,270,2.3584683357879235,12.144329896907216,2010-12-01 10:39:00,2011-12-09 10:03:00,372,22.10723860589812,23.5284047267356
15056BL,edwardian parasol black,2844,15828.84,12682.69,321,142,6.430311526479751,8.85981308411215,2010-12-01 09:41:00,2011-12-09 10:20:00,373,7.60427807486631,49.31102803738318
23313,vintage christmas bunting,2990,15798.66,13241.71,401,254,5.548627450980392,7.328431372549019,2011-07-12 15:15:00,2011-12-09 12:19:00,149,19.933333333333334,39.39815461346633
22379,recycling bag retrospot,6896,15607.59,12818.89,748,187,3.1890400000000003,9.194666666666667,2010-12-01 09:45:00,2011-12-09 10:26:00,373,18.43850267379679,20.865762032085563
82483,wood 2 drawer cabinet white finish,2386,15123.92,14375.92,543,241,6.952326007326008,4.3699633699633695,2010-12-01 09:02:00,2011-12-08 12:10:00,372,6.396782841823057,27.852523020257827
22084,paper chain kit empire,5181,15099.37,12852.67,436,277,3.2728442437923255,11.695259593679458,2010-12-01 17:06:00,2011-12-08 15:01:00,371,13.92741935483871,34.63158256880734
22900,set 2 tea towels i love london,4907,14938.43,11673.68,533,194,3.734585635359116,9.03683241252302,2010-12-01 08:45:00,2011-12-09 10:26:00,373,13.120320855614974,28.027073170731708
84997D,childrens cutlery polkadot pink,3666,14493.640000000001,10401.64,358,208,4.503296398891967,10.155124653739612,2011-02-20 12:23:00,2011-12-09 12:16:00,291,12.554794520547945,40.4850279329609
22752,set 7 babushka nesting boxes,1787,14427.97,12699.07,380,188,9.79502617801047,4.678010471204188,2010-12-01 08:26:00,2011-12-08 18:22:00,372,4.79088471849866,37.968342105263154
22866,hand warmer scotty dog design,6611,14366.52,13042.2,548,329,2.3365124555160146,11.763345195729537,2010-12-01 10:39:00,2011-12-09 10:26:00,372,17.723860589812332,26.216277372262773
22847,bread bin diner style ivory,901,14329.539999999999,13466.73,375,214,17.415146666666665,2.4026666666666667,2010-12-01 14:32:00,2011-12-08 14:38:00,372,2.415549597855228,38.212106666666664
48184,doormat english rose,2035,14300.15,12189.35,407,227,8.640073710073711,5.0,2010-12-01 14:03:00,2011-12-08 19:29:00,372,5.455764075067024,35.135503685503686
22507,memo board retrospot  design,2960,14193.35,9039.66,459,230,6.295599128540305,6.44880174291939,2010-12-02 09:29:00,2011-12-09 10:26:00,372,7.935656836461126,30.922331154684098
23200,jumbo bag pears,7067,14188.960000000001,13504.16,595,262,2.4302508361204014,11.81772575250836,2011-05-06 15:40:00,2011-12-09 10:03:00,216,32.566820276497694,23.846991596638656
21232,strawberry ceramic trinket box,10473,14117.58,13546.06,706,296,1.6572816901408451,14.750704225352113,2010-12-01 10:52:00,2011-12-01 11:18:00,365,28.614754098360656,19.99657223796034
22625,red kitchen scales,1620,14082.2,13348.6,546,292,9.793315018315017,2.967032967032967,2010-12-01 12:58:00,2011-12-09 11:56:00,372,4.343163538873995,25.791575091575094
22867,hand warmer bird design,6433,14061.890000000001,13125.590000000002,554,333,2.401336898395722,11.467023172905526,2010-12-01 10:47:00,2011-12-09 10:03:00,372,17.246648793565683,25.382472924187727
22083,paper chain kit retrospot,4616,14051.640000000001,13888.44,610,294,3.7658756137479545,7.554828150572831,2010-12-01 09:41:00,2011-12-09 12:19:00,373,12.342245989304812,23.035475409836067
21930,jumbo storage bag skulls,6438,14006.2,14006.2,705,220,2.7869887955182073,9.016806722689076,2010-12-01 12:43:00,2011-12-09 10:26:00,372,17.260053619302948,19.86695035460993
23343,jumbo bag vintage christmas,6078,13972.710000000001,11489.59,476,286,2.417366255144033,12.506172839506172,2011-06-13 11:33:00,2011-12-09 12:19:00,179,33.766666666666666,29.354432773109245
22622,box of vintage alphabet blocks,1342,13931.31,11228.91,267,174,12.382434456928838,5.02621722846442,2010-12-01 08:34:00,2011-12-09 12:16:00,373,3.588235294117647,52.177191011235955
20971,pink blue felt craft trinket box,10993,13828.1,8574.76,522,277,1.4207224334600759,20.899239543726235,2010-12-01 14:32:00,2011-12-09 10:03:00,372,29.471849865951743,26.490613026819926
84077,world war 2 gliders asstd designs,54951,13814.009999999998,11726.73,535,307,0.3207276119402985,102.5205223880597,2010-12-02 10:09:00,2011-12-09 10:03:00,371,147.71774193548387,25.820579439252334
22941,christmas lights 10 reindeer,1670,13795.92,10642.32,311,205,9.962893890675241,5.369774919614148,2010-12-01 10:03:00,2011-12-09 12:19:00,373,4.46524064171123,44.359871382636655
AMAZONFEE,amazon fee,2,13761.09,367.2,2,0,6880.545,1.0,2010-12-07 15:08:00,2011-03-28 11:57:00,110,0.018018018018018018,6880.545
