stock_code,description,total_quantity,total_revenue,avg_unit_price,total_orders,unique_customers,revenue_percentage,cumulative_revenue_percentage,abc_category,avg_daily_demand,demand_std,max_daily_demand,demand_days,safety_stock,reorder_point,inventory_priority,movement_category,avg_daily_demand_capped,reorder_point_capped,annual_demand,holding_cost,eoq
22470,heart of wicker large,9887,30098.110000000004,3.2850427350427354,925,485,0.002828208665961941,0.1938397351796639,A,41.19583333333333,115.55653574453308,1292,240,504.460862314498,792.8316956478313,Critical,Fast Moving,41.19583333333333,792.8316956478313,9887,0.6570085470085472,1227.0
22355,charlotte bag suki design,18124,29254.15,1.2166067415730337,882,249,0.002748904849684931,0.19658864002934884,A,63.59298245614035,70.61986079930396,397,285,308.29027233997965,753.4411495329621,Critical,Fast Moving,63.59298245614035,753.4411495329621,18124,0.24332134831460675,2729.0
22699,roses regency teacup and saucer,9864,29056.920000000002,3.661425908667288,1065,423,0.0027303718721927335,0.19931901190154158,A,34.85512367491166,60.96077857994682,783,283,266.12364875483064,510.1095144792123,Critical,Fast Moving,34.85512367491166,510.1095144792123,9864,0.7322851817334577,1161.0
23355,hot water bottle keep calm,5816,28718.8,5.271557788944723,782,474,0.00269859997973387,0.20201761188127546,A,61.87234042553192,55.029656528905555,381,94,240.23139674949687,673.3377797282203,Critical,Fast Moving,61.87234042553192,673.3377797282203,5816,1.0543115577889448,743.0
22411,jumbo shopper vintage red paisley,12574,28577.1,2.689254237288136,1175,375,0.002685284952047187,0.20470289683332266,A,43.96503496503497,49.737685608076845,340,286,217.12935239636477,524.8845971516096,Critical,Fast Moving,43.96503496503497,524.8845971516096,12574,0.5378508474576272,1529.0
20685,doormat red retrospot,4088,28049.54,8.953529411764706,696,329,0.0026357120797367707,0.2073386089130594,A,15.783783783783784,36.9291114285032,402,259,161.21365421438094,271.70014070086745,Critical,Fast Moving,15.783783783783784,271.70014070086745,4088,1.7907058823529411,478.0
85099C,jumbo  bag baroque black white,13900,28047.74,2.605185577942736,933,306,0.0026355429403589585,0.20997415185341836,A,48.771929824561404,65.68432229388021,541,285,286.7442300119474,628.1477387838772,Critical,Fast Moving,48.771929824561404,628.1477387838772,13900,0.5210371155885473,1633.0
22457,natural slate heart chalkboard,9119,27991.610000000004,3.59003187250996,1249,587,0.0026302686107608393,0.2126044204641792,A,30.703703703703702,44.29492397882956,660,297,193.36903276431624,408.2949586902422,Critical,Fast Moving,30.703703703703702,408.2949586902422,9119,0.718006374501992,1127.0
23201,jumbo bag alphabet,13366,27850.83,2.3900109769484086,906,396,0.0026170400320894836,0.2152214604962687,A,67.5050505050505,90.56757005648616,722,198,395.371790907856,867.9071444432095,Critical,Fast Moving,67.5050505050505,867.9071444432095,13366,0.47800219538968175,1672.0
22726,alarm clock bakelike green,6419,27155.28,4.54201213346815,980,322,0.002551681757513112,0.2177731422537818,A,25.676,35.319923726534185,302,250,154.1887619351956,333.9207619351956,Critical,Fast Moving,25.676,333.9207619351956,6419,0.90840242669363,841.0
84347,rotating silver angels t-light hldr,9461,26425.579999999998,3.415258620689655,449,192,0.0024831145330743536,0.22025625678685615,A,67.09929078014184,109.99566906828257,693,141,480.18495632057846,949.8799917815713,Critical,Fast Moving,67.09929078014184,949.8799917815713,9461,0.683051724137931,1177.0
21915,red  harmonica in box,21903,26294.08,1.4255722891566265,661,349,0.0024707579618619426,0.2227270147487181,A,88.67611336032388,227.65354944180092,2158,247,993.8192168918514,1614.5520104141187,Critical,Fast Moving,88.67611336032388,1614.5520104141187,21903,0.28511445783132533,2772.0
22666,recipe box pantry yellow design,8269,26219.95,3.7048793565683646,1111,471,0.0024637922384856984,0.22519080698720378,A,28.125850340136054,55.858620398502005,644,294,243.85022995343334,440.7311823343857,Critical,Fast Moving,28.125850340136054,440.7311823343857,8269,0.7409758713136729,1056.0
21175,gin + tonic diet metal sign,11709,25792.47,2.7445669291338586,759,330,0.0024236235155816552,0.22761443050278543,A,43.690298507462686,179.71137174367394,2067,268,784.5281357166682,1090.360225268907,Critical,Fast Moving,43.690298507462686,1090.360225268907,11709,0.5489133858267717,1461.0
22629,spaceboy lunch box,14249,25719.02,2.193337016574586,900,322,0.0024167216893036963,0.23003115219208914,A,50.70818505338078,82.31750532399312,657,281,359.35621859696,714.3135139706255,Critical,Fast Moving,50.70818505338078,714.3135139706255,14249,0.43866740331491716,1802.0
22961,jam making set printed,16396,25637.78,1.9049140893470793,1162,537,0.002409087865385093,0.23244024005747424,A,57.32867132867133,74.24135852354415,699,286,324.0998832206574,725.4005825213567,Critical,Fast Moving,57.32867132867133,725.4005825213567,16396,0.3809828178694159,2075.0
48138,doormat union flag,3751,25534.15,8.891294498381876,616,313,0.0023993501355391448,0.2348395901930134,A,15.125,41.55836464617895,516,248,181.4226112847417,287.2976112847417,Critical,Fast Moving,15.125,287.2976112847417,3751,1.7782588996763753,459.0
21181,please one person metal sign,12274,25225.480000000003,2.426067677946324,845,361,0.0023703455512339355,0.23720993574424734,A,59.58252427184466,86.87524267977697,737,206,379.2529739114728,796.3306438143854,Critical,Fast Moving,59.58252427184466,796.3306438143854,12274,0.48521353558926483,1590.0
23173,regency teapot roses,2766,24879.13,11.119714964370546,416,248,0.0023378003159531843,0.23954773606020052,A,17.074074074074073,54.0636334935846,548,162,236.0142331743355,355.532751692854,Critical,Fast Moving,17.074074074074073,355.532751692854,2766,2.2239429928741092,353.0
21621,vintage union jack bunting,2787,24525.83,9.4460206185567,475,267,0.0023046020147414357,0.24185233807494197,A,12.223684210526315,24.401523035558743,204,228,106.52459657944888,192.0903860531331,Critical,Fast Moving,12.223684210526315,192.0903860531331,2787,1.8892041237113402,384.0
23203,jumbo bag vintage doily,11448,24489.08,2.300598885793872,711,363,0.002301148752444431,0.2441534868273864,A,106.0,116.48063494743239,596,108,508.4950078325786,1250.4950078325787,Critical,Fast Moving,98.84146341463475,1200.385251735022,11448,0.4601197771587744,1577.0
22111,scottie dog hot water bottle,4655,24455.39,5.805300896286813,771,425,0.002297983027089707,0.2464514698544761,A,24.5,46.28125999208564,555,190,202.0403620979399,373.5403620979399,Critical,Fast Moving,24.5,373.5403620979399,4655,1.1610601792573625,633.0
22722,set of 6 spice tins pantry design,5966,24436.260000000002,4.676517119244393,834,393,0.0022961854513688447,0.24874765530584494,A,29.681592039800996,77.40308850073579,940,201,337.9023827540959,545.6735270327029,Critical,Fast Moving,29.681592039800996,545.6735270327029,5966,0.9353034238488785,799.0
22326,round snack boxes set of4 woodland,8535,24364.870000000003,3.4687721691678037,732,281,0.00228947719571216,0.2510371325015571,A,31.847014925373134,48.014695300904776,295,268,209.60765602051382,432.5367604981258,Critical,Fast Moving,31.847014925373134,432.5367604981258,8535,0.6937544338335608,1109.0
22138,baking set 9 piece retrospot,4937,24185.27,5.353144989339019,934,581,0.0022726008444593146,0.2533097333460164,A,19.28515625,33.00743728395044,420,256,144.0936262736753,279.08972002367534,Critical,Fast Moving,19.28515625,279.08972002367534,4937,1.0706289978678039,679.0
48187,doormat new england,3807,24108.39,8.464717607973423,600,314,0.002265376713700302,0.2555751100597167,A,14.988188976377952,51.33602255460578,523,254,224.1068758148379,329.02419864948354,Critical,Fast Moving,14.988188976377952,329.02419864948354,3807,1.6929435215946846,474.0
21731,red toadstool led night light,14001,23919.78,2.3904327485380117,849,266,0.0022476537258951843,0.2578227637856119,A,51.855555555555554,85.3259956088523,624,270,372.48975183752054,735.4786407264094,Critical,Fast Moving,51.855555555555554,735.4786407264094,14001,0.47808654970760234,1711.0
48185,doormat fairy cake,3615,23872.91,10.12136612021858,365,143,0.0022432495244295897,0.26006601331004153,A,18.075,80.41743713884382,682,200,351.06149057520804,477.586490575208,Critical,Fast Moving,18.075,477.586490575208,3615,2.024273224043716,423.0
23344,jumbo bag 50's christmas,10285,23772.07,2.4177423822714683,716,391,0.0022337739606192505,0.2622997872706608,A,75.625,97.7650196853357,567,136,426.7921828644085,956.1671828644085,Critical,Fast Moving,75.625,956.1671828644085,10285,0.48354847645429366,1458.0
23243,set of tea coffee sugar tins pantry,4800,23489.42,5.866072186836518,470,275,0.002207214379986641,0.26450700165064744,A,32.0,128.92399300810675,1496,150,562.8163588226529,786.8163588226529,Critical,Fast Moving,32.0,786.8163588226529,4800,1.1732144373673037,640.0
22189,cream heart card holder,8284,23435.82,4.4527186311787075,524,274,0.0022021777851806697,0.2667091794358281,A,33.81224489795918,155.61611240360654,2042,245,679.3405301341174,916.0262444198318,Critical,Fast Moving,33.81224489795918,916.0262444198318,8284,0.8905437262357415,964.0
21733,red hanging heart t-light holder,7872,23199.24,3.160996015936255,741,385,0.00217994723295685,0.26888912666878495,A,31.488,76.82610792847538,906,250,335.38358002999325,555.7995800299932,Critical,Fast Moving,31.488,555.7995800299932,7872,0.632199203187251,1116.0
21929,jumbo bag pink vintage paisley,11006,23179.06,2.678348623853211,865,308,0.00217805099259893,0.2710671776613839,A,39.448028673835125,60.033833279128736,435,279,262.07707862570504,538.213279342551,Critical,Fast Moving,39.448028673835125,538.213279342551,11006,0.5356697247706422,1433.0
82482,wooden picture frame white finish,8986,23057.06,3.1030650994575044,1100,410,0.0021665871014360846,0.27323376476281996,A,30.773972602739725,37.84073525508319,338,292,165.1933386060943,380.6111468252724,Critical,Fast Moving,30.773972602739725,380.6111468252724,8986,0.620613019891501,1203.0
20713,jumbo bag owls,11429,23001.06,2.7772809667673717,657,207,0.002161324987459696,0.27539508975027965,A,54.94711538461539,96.21800976047473,762,208,420.0387270284726,804.6685347207804,Critical,Fast Moving,54.94711538461539,804.6685347207804,11429,0.5554561933534744,1434.0
21623,vintage union jack memoboard,3269,22980.239999999998,10.374389140271493,221,139,0.0021593686086563316,0.277554458358936,A,21.50657894736842,118.56453780665181,1009,152,517.5922642237318,668.1383168553108,Critical,Fast Moving,21.50657894736842,668.1383168553108,3269,2.0748778280542988,397.0
22139,retrospot tea set ceramic 11 pc,4518,22868.260000000002,5.730788381742739,962,488,0.0021488462600299757,0.279703304618966,A,16.79553903345725,16.782381780738934,103,269,73.26331418864127,190.83208742284202,Critical,Fast Moving,16.79553903345725,190.83208742284202,4518,1.146157676348548,628.0
22090,paper bunting retrospot,7562,22785.06,3.7798004987531173,798,325,0.002141028262122199,0.2818443328810882,A,28.973180076628353,33.20627907840371,229,261,144.96166807198446,347.7739286083829,Critical,Fast Moving,28.973180076628353,347.7739286083829,7562,0.7559600997506235,1000.0
22697,green regency teacup and saucer,7278,22755.5,3.835362035225049,1013,387,0.002138250617673234,0.28398258349876143,A,25.18339100346021,27.170838143230192,204,289,118.61401305628885,294.8977500805103,Critical,Fast Moving,25.18339100346021,294.8977500805103,7278,0.7670724070450099,974.0
85066,cream sweetheart mini chest,1784,22594.2,14.308129770992366,519,289,0.002123093850094816,0.2861056773488562,A,7.402489626556017,14.867184011863188,167,241,64.90253812552216,116.71996551141427,Critical,Fast Moving,7.402489626556017,116.71996551141427,1784,2.861625954198473,250.0
20727,lunch bag  black skull.,12195,22346.96,2.1077863182167564,1273,458,0.002099861616889062,0.2882055389657453,A,41.763698630136986,39.462483606457965,280,292,172.27306427042427,464.6189546813831,Critical,Fast Moving,41.763698630136986,464.6189546813831,12195,0.42155726364335133,1701.0
15056N,edwardian parasol natural,3950,22152.690000000002,6.94886462882096,456,184,0.0020816067797070456,0.29028714574545234,A,16.666666666666668,25.398741015998013,158,237,110.8779413650701,227.54460803173677,Critical,Fast Moving,16.666666666666668,227.54460803173677,3950,1.3897729257641922,533.0
48194,doormat hearts,3416,22114.42,9.247993254637437,592,286,0.00207801068860211,0.2923651564340544,A,13.82995951417004,51.59681318937407,527,247,225.24535463519297,322.05507123438326,Critical,Fast Moving,13.82995951417004,322.05507123438326,3416,1.8495986509274875,430.0
20712,jumbo bag woodland animals,9773,22092.420000000002,2.9266168009205984,863,248,0.002075943429539958,0.2944410998635944,A,35.28158844765343,51.09298273172366,402,277,223.04588798028627,470.01700711386025,Critical,Fast Moving,35.28158844765343,470.01700711386025,9773,0.5853233601841197,1292.0
84029E,red woolly hottie white heart.,4734,22025.73,5.128721461187215,429,228,0.0020696768155920053,0.2965107766791864,A,33.81428571428572,70.7147055330277,551,140,308.7043160446649,545.4043160446649,Critical,Fast Moving,33.81428571428572,545.4043160446649,4734,1.0257442922374431,679.0
23202,jumbo bag vintage leaf,10941,21810.43,2.2962302483069976,879,377,0.002049445866679213,0.2985602225458656,A,59.46195652173913,63.52099320360056,341,184,277.30023923010936,693.5339348822833,Critical,Fast Moving,59.46195652173913,693.5339348822833,10941,0.45924604966139954,1543.0
20724,red retrospot charlotte bag,17761,21773.39,1.1461973180076628,1032,335,0.002045965354149116,0.30060618790001475,A,62.1013986013986,63.52891479933298,383,286,277.33482087439575,712.0446110841859,Critical,Fast Moving,62.1013986013986,712.0446110841859,17761,0.22923946360153258,2783.0
20728,lunch bag cars blue,11786,21699.48,2.063580034423408,1150,479,0.002039020303363494,0.30264520820337826,A,40.225255972696246,43.09074262155857,302,293,188.11219149646345,469.68898330533716,Critical,Fast Moving,40.225255972696246,469.68898330533716,11786,0.41271600688468163,1690.0
22630,dolly girl lunch box,11780,21609.789999999997,2.3315268065268064,850,287,0.002030592464032382,0.3046758006674106,A,42.22222222222222,79.10529869341813,664,279,345.33336375494065,640.8889193104962,Critical,Fast Moving,42.22222222222222,640.8889193104962,11780,0.4663053613053613,1589.0
21523,doormat fancy font home sweet home,3245,21593.74,9.514820717131473,502,203,0.0020290843045802213,0.30670488497199083,A,14.295154185022026,44.177899846204255,503,227,192.8581651229889,292.9242444181431,Critical,Fast Moving,14.295154185022026,292.9242444181431,3245,1.9029641434262947,413.0
21843,red retrospot cake stand,2012,21354.3,12.607560073937153,539,260,0.002006585008678321,0.3087114699806692,A,8.314049586776859,19.929974113884427,223,242,87.00409598313357,145.2024430905716,Critical,Fast Moving,8.314049586776859,145.2024430905716,2012,2.521512014787431,282.0
21212,pack of 72 retrospot cake cases,36396,21246.45,0.7612056213017753,1320,635,0.001996450740957724,0.3107079207216269,A,122.13422818791946,185.29487493273615,1540,298,808.9028611732795,1663.8424584887157,Critical,Fast Moving,98.84146341463475,1500.7931050757227,36396,0.15224112426035508,4889.0
21166,cook with wine metal sign,10324,20874.440000000002,2.3886126373626375,723,287,0.0019614943298799353,0.3126694150515068,A,43.561181434599156,70.52738267561668,498,237,307.8865600469454,612.8148300891395,Critical,Fast Moving,43.561181434599156,612.8148300891395,10324,0.4777225274725275,1470.0
23206,lunch bag apple design,12147,20852.58,2.0589553656220323,1036,401,0.0019594402261027236,0.31462885527760953,A,61.34848484848485,64.71056035963642,421,198,282.49328235353346,711.9326762929275,Critical,Fast Moving,61.34848484848485,711.9326762929275,12147,0.4117910731244065,1717.0
22659,lunch box i love london,11504,20781.649999999998,2.3154016620498616,707,213,0.0019527751949537017,0.3165816304725632,A,42.60740740740741,85.6103037519148,728,270,373.7308960972396,671.9827479490914,Critical,Fast Moving,42.60740740740741,671.9827479490914,11504,0.4630803324099724,1576.0
22728,alarm clock bakelike pink,5356,20672.15,4.579835651074589,783,291,0.001942485882803443,0.31852411635536665,A,19.197132616487455,50.135935994847756,500,279,218.8679103432011,353.24783865861326,Critical,Fast Moving,19.197132616487455,353.24783865861326,5356,0.9159671302149178,765.0
21479,white skull hot water bottle,3915,20582.2,4.986313725490196,499,252,0.0019340336122288695,0.32045814996759553,A,24.01840490797546,44.186818937442716,300,163,192.89710132359605,361.02593567942426,Critical,Fast Moving,24.01840490797546,361.02593567942426,3915,0.9972627450980392,627.0
82494L,wooden frame antique white,6735,19599.49,3.2622028353326065,910,392,0.0018416919689121477,0.3222998419365077,A,26.41176470588235,24.83994153963431,145,255,108.43850802717117,293.32086096834763,Critical,Fast Moving,26.41176470588235,293.32086096834763,6735,0.6524405670665213,1016.0
84946,antique silver t-light glass,14664,19381.62,1.5028468208092487,689,348,0.0018212195265543672,0.324121061463062,A,72.5940594059406,71.40337077175414,456,202,311.7106770257693,819.8690928673535,Critical,Fast Moving,72.5940594059406,819.8690928673535,14664,0.30056936416184976,2209.0
22501,picnic basket wicker large,1602,19302.26,14.401595505617978,445,187,0.001813762359319257,0.32593482382238126,A,9.592814371257486,20.67189340557266,201,167,90.2429369819692,157.39263758077158,Critical,Fast Moving,9.592814371257486,157.39263758077158,1602,2.880319101123596,236.0
22328,round snack boxes set of 4 fruits,6835,19094.97,3.275880341880342,581,227,0.0017942840806377304,0.327729107903019,A,26.38996138996139,97.72215029626415,1497,259,426.60503698954653,611.3347667192762,Critical,Fast Moving,26.38996138996139,611.3347667192762,6835,0.6551760683760685,1021.0
22467,gumball coat rack,7926,18798.670000000002,2.8794049346879533,681,262,0.0017664418597233766,0.32949554976274237,A,30.602316602316602,39.29978394175172,344,259,171.56280056593386,385.77901678215005,Critical,Fast Moving,30.602316602316602,385.77901678215005,7926,0.5758809869375907,1173.0
22969,homemade jam scented candles,12520,18771.149999999998,1.7925077399380807,646,429,0.0017638559065692656,0.3312594056693116,A,47.786259541984734,113.28612996932428,1452,262,494.54942937142596,829.053246165319,Critical,Fast Moving,47.786259541984734,829.053246165319,12520,0.35850154798761613,1869.0
22383,lunch bag suki design,10301,18699.43,2.1189745916515426,1084,399,0.0017571166420266486,0.33301652231133827,A,44.59307359307359,43.430491638826894,293,231,189.5953623194499,501.74687747096505,Critical,Fast Moving,44.59307359307359,501.74687747096505,10301,0.4237949183303085,1559.0
15036,assorted colours silk fan,23826,18569.84,1.0677649325626204,518,194,0.0017449395464873604,0.3347614618578256,A,102.69827586206897,234.7432499922583,1846,232,1024.7692313604578,1743.6571623949405,Critical,Fast Moving,98.84146341463475,1716.659475262901,23826,0.21355298651252408,3340.0
20726,lunch bag woodland,9909,18283.78,2.1818446601941743,1017,372,0.0017180595407001174,0.3364795213985257,A,34.52613240418118,41.081683683730624,323,287,179.3416654705023,421.0245922997706,Critical,Fast Moving,34.52613240418118,421.0245922997706,9909,0.43636893203883487,1507.0
21108,fairy cake flannel assorted colour,10241,18056.280000000002,2.3184790874524714,262,160,0.0016966822026710407,0.33817620360119677,A,74.75182481751825,378.20901047339316,3132,137,1651.0675257720955,2174.3302994947235,Critical,Fast Moving,74.75182481751825,2174.3302994947235,10241,0.4636958174904943,1486.0
22382,lunch bag spaceboy design,10427,18031.31,2.0130927835051544,1157,490,0.0016943358636354975,0.33987053946483226,A,36.5859649122807,40.12529425365534,257,285,175.1665572994608,431.2683116854257,Critical,Fast Moving,36.5859649122807,431.2683116854257,10427,0.4026185567010309,1609.0
22693,grow a flytrap or sunflower in tin,16244,17927.45,1.4859344262295082,305,167,0.0016845765215357175,0.34155511598636795,A,92.29545454545455,291.43142919403516,2497,176,1272.2408916946508,1918.3090735128326,Critical,Fast Moving,92.29545454545455,1918.3090735128326,16244,0.29718688524590164,2338.0
