iter	F1	Logloss
383	0.6389016018	0.4450998029
384	0.6398169336	0.4449188164
385	0.6413540714	0.4447825389
386	0.6413540714	0.4445925231
387	0.6413540714	0.4445079646
388	0.6438356164	0.444337855
389	0.6435100548	0.444153605
390	0.6447488584	0.4439975187
391	0.6447488584	0.4438974679
392	0.6447488584	0.4437962039
393	0.6456621005	0.4436313555
394	0.6456621005	0.4436187897
395	0.6456621005	0.4436025331
396	0.6456621005	0.4435064802
397	0.645957058	0.4433496532
398	0.6466028272	0.4431297658
399	0.6453674121	0.4429552978
400	0.6453674121	0.44287038
401	0.6468978102	0.44270976
402	0.6484018265	0.4425283743
403	0.6474885845	0.4423799626
404	0.6477843764	0.4422328074
405	0.6496350365	0.4420167483
406	0.6499315381	0.4418538556
407	0.6499315381	0.4418228506
408	0.6499315381	0.4417029831
409	0.650250798	0.4415008848
410	0.650250798	0.4413562146
411	0.6508443633	0.4411554461
412	0.6529867761	0.4410066328
413	0.6532846715	0.4408540535
414	0.6529867761	0.4406960783
415	0.6529867761	0.4406480102
416	0.6523722628	0.4405045039
417	0.6526700137	0.4403243692
418	0.6532846715	0.4403025478
419	0.6526891522	0.4401369317
420	0.6526891522	0.4401091702
421	0.6526891522	0.4400976948
422	0.6533029613	0.4399470425
423	0.6539162113	0.4397852752
424	0.6539162113	0.4396367243
425	0.654528903	0.4394526637
426	0.6554545455	0.4393549075
427	0.6557377049	0.4392066094
428	0.6554392353	0.4390398261
429	0.6554392353	0.4388707515
430	0.6563495676	0.4387419102
431	0.6563495676	0.43858841
432	0.6572598999	0.4384580413
433	0.6572598999	0.4383856333
434	0.6590909091	0.4382449297
435	0.6587807097	0.4379829838
436	0.6590909091	0.4377850286
437	0.6593906321	0.4376533797
438	0.6593906321	0.4374242239
439	0.6593906321	0.4372958738
440	0.6593906321	0.4372745706
441	0.6599908967	0.4371624067
442	0.6596906278	0.4369125184
443	0.6603001364	0.4368004845
444	0.6596906278	0.4366570749
445	0.6596906278	0.436532458
446	0.6609012289	0.4362819453
447	0.6618115612	0.4361909482
448	0.6642369021	0.4359728549
449	0.664845173	0.4358499758
450	0.6651480638	0.4357060249
451	0.6651480638	0.4356817009
452	0.6651480638	0.4355449299
453	0.6654512306	0.4354279803
454	0.6669703872	0.4353144598
455	0.6666666667	0.4351343764
456	0.6666666667	0.4351170025
457	0.6663632226	0.4348839752
458	0.6663632226	0.4348534342
459	0.6663632226	0.4348456421
460	0.6663632226	0.4348320193
461	0.6669699727	0.4347470688
462	0.6669699727	0.4345909811
463	0.6663632226	0.4345648188
464	0.6663632226	0.4344695978
465	0.6669699727	0.4343065797
466	0.6663632226	0.4341513846
467	0.6669699727	0.433996784
468	0.667576171	0.4338595529
469	0.6681838871	0.4336464437
470	0.6681838871	0.4334069273
471	0.6675774135	0.4333229623
472	0.6675774135	0.4332417219
473	0.6684881603	0.4330913684
474	0.6687898089	0.4329291214
475	0.6687898089	0.4329201187
476	0.6684881603	0.4326770014
477	0.6684881603	0.4325465067
478	0.6687927107	0.4324413211
479	0.6693989071	0.4324164477
480	0.6700045517	0.4322473529
481	0.6700045517	0.4320701084
482	0.6700045517	0.4319109838
483	0.6684881603	0.4317515145
484	0.6684881603	0.431727939
485	0.6703046839	0.4316224162
486	0.6706096451	0.4314266501
487	0.6709148839	0.4312556577
488	0.6712204007	0.4310526518
489	0.6709148839	0.4309223579
490	0.6712204007	0.4307813137
491	0.6712204007	0.4306372344
492	0.6712204007	0.4305283035
493	0.6721236926	0.4304297018
494	0.6730331969	0.4302129179
495	0.6730331969	0.4300993413
496	0.6718252162	0.4299566271
497	0.6718252162	0.4297578697
498	0.6727355485	0.4296037825
499	0.6733393995	0.4294616863
